Customer,CustomerName,Branch,BranchName,Month,MonthName,MonthRevenue,MonthPct,Tier,Pattern,YearsActive,YearsBought,ActiveMonths,ServiceType,Y2023,Y2024,Y2025,TotalRevenue,LastService,TotalInvoices,Equipment,MachineCount
199160,Raymond Yauger,3,Gallipolis,4,April,4003.03,46.7,STRONG,Year-Round,2,2024/2025,"Mar, May, Jul, Oct, Dec",Customer Labor,0.0,4456.5,4110.1900000000005,8566.69,2025-12-15,6,Case 580SN,1
189266,Stump & Dailey Concrete Const,3,Gallipolis,4,April,3604.61,31.4,STRONG,Year-Round,2,2023/2024,"Mar, Aug, Oct, Nov, Dec",Customer Labor,6012.23,5461.73,0.0,11473.96,2024-12-23,9,"Case 70XT, Case TR310, Case TR310",4
3013497,Hills Blacktop,4,Dublin,4,April,5690.68,38.0,GOOD,Year-Round,1,2024,"Mar, Apr, May, Jun, Sep",Customer Labor,6961.91,8012.35,0.0,14974.26,2024-04-25,14,"WE W120XTI, Kubota SVL75-2, LY 8520",11
422369,Ciminello Landscaping,4,Dublin,4,April,2663.52,21.7,STRONG,Year-Round,2,2023/2024,"Feb, Mar, May, Jun, Aug, Sep, Nov",Customer Labor,10419.74,1847.9,0.0,12267.64,2024-03-29,18,"Case TR270B, Case TR270B, Case TR270B",11
1550570,K B Cattle,4,Dublin,4,April,2658.02,45.8,STRONG,Seasonal,2,2023/2024,"Jan, Feb, Mar, Dec",Customer Labor,1377.09,4430.75,0.0,5807.84,2024-12-06,5,"Case TV380, Case TV380, Case TV380",3
3061392,Paveworks,4,Dublin,4,April,2250.32,17.6,GOOD,Year-Round,1,2025,"Mar, May, Jun, Jul, Sep, Oct, Dec",Customer Labor,393.0,9925.02,2493.7499999999995,12811.77,2025-07-31,12,"Case TV450B, LB 8515C, BZ 160230-HP",5
1793005,U D Contracting,6,Burlington,4,April,11598.68,50.1,GOOD,Year-Round,1,2025,"Mar, Jun, Jul, Sep, Oct",Customer Labor,0.0,8121.61,15031.72,23153.33,2025-09-18,6,"KO SK330LC, HI ZX290LC-5N, KO SK330LC",6
669644,Northern Kentucky Water,6,Burlington,4,April,3953.12,25.3,STRONG,Year-Round,2,2023/2025,"Feb, Mar, Apr, Jun, Jul, Aug, Sep, Nov",Customer Labor,6740.13,6956.01,1906.74,15602.88,2025-03-24,13,"Case 580SN, Case 580SN, KT KF9TLB",7
664032,Kenneth E Meadows,6,Burlington,4,April,3927.74,24.1,GOOD,Year-Round,1,2023,"Mar, Apr, May, Jun, Jul, Aug, Dec",Customer Labor,7693.66,7808.49,823.37,16325.52,2025-07-28,8,"Case CX250C, Kobelco SK210LC-9, Kobelco SK260-9",6
675086,R E B T Construction Llc,6,Burlington,4,April,1546.06,25.3,STRONG,Year-Round,2,2023/2025,"Mar, Jun, Jul, Aug, Oct",Customer Labor,4076.58,797.95,1244.11,6118.64,2025-08-07,7,"Case TR320, Kobelco SK035SR-2",2
847587,Imperial Tree & Stump Inc,11,Mentor,4,April,8972.16,24.8,STRONG,Year-Round,3,2023/2024/2025,"Jan, Mar, Apr, May, Jun, Jul, Aug, Dec",Customer Labor,8982.310000000001,5340.64,21798.45,36121.4,2025-12-30,23,"New Holland LX885, New Holland LX885 T, Bandit 1890",14
3051695,Bartlett Tree Experts,11,Mentor,4,April,2182.8,12.7,TARGET,Year-Round,1,2025,"Jan, Feb, Mar, Apr, May, Jul, Aug, Sep, Oct, Nov",Customer Labor,775.04,1897.91,14506.55,17179.5,2025-11-18,13,"VR BC-1500, VM CTX160, VM SC40TX",9
1221642,Central Paving Inc,12,Fort Wayne,4,April,6769.95,34.7,GOOD,Year-Round,1,2024,"Feb, Mar, Jun, Jul, Aug",Customer Labor,0.0,17557.489999999998,1931.64,19489.13,2025-06-20,7,"Etnyre CENTENNIAL, Etnyre CENTENNIAL, Etnyre S2000",4
1269002,Niblock Excavating Inc,12,Fort Wayne,4,April,5979.46,21.4,GOOD,Year-Round,1,2023,"Feb, Mar, May, Jun, Aug, Sep, Oct, Dec",Customer Labor,18024.03,5649.14,4268.1900000000005,27941.36,2025-12-30,12,"Kobelco SK170-8, Etnyre BT-HL, CG 150DH",9
1347619,Indiana Dept Of Transportation,13,Indianapolis,4,April,49583.79,20.2,STRONG,Year-Round,3,2023/2024/2025,"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",Customer Labor,51564.4,72379.98,120923.14,244867.52,2025-12-23,76,"Etnyre CENTENNIAL, Etnyre CHIP, Etnyre CENTENNIAL",63
1341023,Hancock Co Hwy Department,13,Indianapolis,4,April,11951.89,43.5,GOOD,Year-Round,1,2023,"Jan, Mar, Apr, May, Jun, Aug, Oct",Customer Labor,17994.699999999997,0.0,9491.11,27485.81,2025-10-17,10,"Etnyre SHOOTER, Etnyre CENTENNIAL, DP 6000",3
1365266,Milestone Contractors Lp,13,Indianapolis,4,April,11709.81,16.2,GOOD,Year-Round,1,2025,"Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Dec",Customer Labor,13084.19,35302.23,23681.37,72067.79,2025-08-22,21,"Etnyre BLACK TOPPER, Etnyre CENTENNIAL, Etnyre CENTENNIAL",14
1349312,Johnson Co Highway Department,13,Indianapolis,4,April,11193.0,56.6,GOOD,Year-Round,1,2024,"Feb, Mar, Apr, May, Jul, Aug, Sep",Customer Labor,3543.0,14740.97,1478.18,19762.15,2025-02-10,7,"Etnyre CENTENNIAL, AO PM4142, Etnyre CHIPSPREADER",6
1320285,Calumet Civil Contractors Inc,13,Indianapolis,4,April,7024.67,20.3,GOOD,Year-Round,1,2025,"Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov",Customer Labor,14391.16,3089.67,17060.75,34541.58,2025-11-26,20,"Etnyre BLACK TOPPER, Kubota SVL95-2SHFC, Kubota SVL65-2HWC",16
1322514,Clark Co Highway Department,13,Indianapolis,4,April,6777.36,34.5,STRONG,Year-Round,2,2023/2024,"Jan, Mar, May, Oct, Nov, Dec",Customer Labor,8003.719999999999,7878.25,3740.7,19622.67,2025-11-25,10,"Gradall XL3100SIV, Gradall XL3100SV",2
1368930,Newpoint Services,13,Indianapolis,4,April,4633.11,20.5,STRONG,Year-Round,3,2023/2024/2025,"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",Customer Labor,10495.31,6876.11,5206.900000000001,22578.32,2025-11-14,25,"Schwarze UPDRAFT, Schwarze UPDRAFT, Schwarze UPDRAFT",6
1321512,Catholic Cemetaries Assoc,13,Indianapolis,4,April,4135.06,11.1,TARGET,Year-Round,1,2025,"Jan, Feb, Mar, Apr, May, Jul, Aug, Oct, Nov, Dec",Customer Labor,7404.059999999999,14004.93,15874.87,37283.86,2025-11-06,16,"NB LB75B, New Holland LB75B, New Holland 555D",8
3056710,Crown Technology Inc,13,Indianapolis,4,April,3131.2200000000003,20.6,GOOD,Year-Round,1,2024,"Feb, Mar, Aug, Sep, Nov",Customer Labor,682.13,4080.67,10417.3,15180.1,2025-11-21,9,"Kubota SSV65P, Kubota SSV65, Kubota SSV65",4
1325912,Custom Concrete,13,Indianapolis,4,April,3021.76,10.6,TARGET,Year-Round,1,2023,"Jan, Mar, Apr, May, Aug, Sep, Oct",Customer Labor,25641.26,397.24,2592.08,28630.58,2025-04-21,9,"Case SV210, Kubota SVL75-2HWC, Bomag BW156DH3",6
1366722,Morgan Co Highway Department,13,Indianapolis,4,April,2489.27,10.3,STRONG,Year-Round,2,2024/2025,"Feb, Mar, Apr, Jun, Jul, Aug, Dec",Customer Labor,4194.4,19861.22,0.0,24055.620000000003,2025-06-20,11,"Gradall XL3100SIV, Etnyre CHIPSPREADER, Gradall XL3100SV 4X4",4
3072694,Hanna'S Wrecker Service,13,Indianapolis,4,April,2309.05,20.6,STRONG,Year-Round,2,2024/2025,"Jan, Feb, Mar, Apr, May, Jun, Aug, Sep, Oct, Nov, Dec",Customer Labor,0.0,4637.110000000001,6568.610000000001,11205.72,2025-11-03,12,"DE DL280-5, DE DL280-5, DE DL280-5",8
3044564,Getchell Brothers Inc,13,Indianapolis,4,April,1926.0,11.2,TARGET,Year-Round,1,2023,"Mar, Apr, May, Aug, Sep, Nov",Customer Labor,1926.0,9984.83,5229.65,17140.48,2025-08-20,11,"Kubota SVL97-2HC, Kubota SVL75-2HWC, Kubota KX080-4S2R3",7
1792043,Townsend Tree Service,13,Indianapolis,4,April,1749.4499999999998,10.3,STRONG,Year-Round,2,2023/2024,"Feb, Mar, Jun, Jul, Aug, Nov",Customer Labor,1924.1,3326.18,11705.27,16955.55,2025-08-21,7,"Alamo TDA58, Kubota SVL95-2SHFC, Kubota WG380",8
1376646,Renascent Inc,13,Indianapolis,4,April,1564.37,22.6,STRONG,Year-Round,2,2023/2024,"Mar, May, Jul, Aug, Oct",Customer Labor,726.4000000000001,6207.31,0.0,6933.71,2024-10-09,6,"Case CX490, Case 850M, Case 850M",5
425012,Crawford Construction Co,14,Mansfield,4,April,5216.45,38.2,STRONG,Year-Round,2,2023/2025,"Feb, Mar, Apr, Jun, Sep, Dec",Customer Labor,4652.0,4514.69,4496.42,13663.11,2025-12-19,8,"Case CX300C, Case CX300C, Case CX350D",9
1462877,Mansfield Cemetery Assoc Inc,14,Mansfield,4,April,4866.96,30.7,STRONG,Year-Round,2,2023/2025,"Jan, Mar, Apr, May, Jun, Jul, Sep, Oct, Dec",Customer Labor,2689.19,8375.5,4769.85,15834.54,2025-05-07,12,"Case 580M2, Kobelco SK55SRX-7",2
467010,Morrow County Engineer,14,Mansfield,4,April,4834.26,20.1,STRONG,Year-Round,2,2023/2024,"Jan, Feb, Mar, Apr, May, Jun, Jul, Sep, Oct, Nov, Dec",Customer Labor,6512.91,9337.28,8181.709999999999,24031.9,2025-11-26,17,"Case 721G, Etnyre S2000, Case 721EXT",9
1465530,Mills Dairy Farm,14,Mansfield,4,April,4501.98,22.5,STRONG,Year-Round,2,2024/2025,"Feb, Mar, Apr, May, Jul, Aug, Sep, Oct, Nov, Dec",Customer Labor,3564.23,14411.33,1989.22,19964.78,2025-10-14,21,"Case 821C, Case 821E, Case TV380",14
1474684,Prince Pipeline Integrity Llc,14,Mansfield,4,April,3442.71,43.7,STRONG,Seasonal,2,2023/2024,"Feb, Mar, Apr, May",Customer Labor,1491.85,3342.75,3046.69,7881.29,2025-05-09,7,"Vacall AE1213, Case 580C, Case CX80C",4
3061453,Metal Conversions,14,Mansfield,4,April,2652.8500000000004,12.6,STRONG,Year-Round,2,2023/2024,"Jan, Mar, Apr, May, Jun, Jul, Aug, Sep, Dec",Customer Labor,7829.09,5477.1900000000005,7708.65,21014.93,2025-12-05,23,"Case SR240, Case IH SR240, Case SR240",4
1642122,Hartline-Valley Farms Inc,16,Marietta,4,April,3827.35,32.1,GOOD,Year-Round,1,2025,"Feb, Mar, Jun, Aug, Sep, Nov, Dec",Customer Labor,959.48,1186.59,9768.14,11914.21,2025-09-24,9,"Case 721FXT, Case SV250, Case SV250",8
93195,Valero Energy Corp,4,Dublin,5,May,26121.63,10.8,STRONG,Year-Round,3,2023/2024/2025,"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",Customer Labor,59253.06,126384.55,56385.6,242023.21,2025-05-12,342,"Case 821G XR, Case 821G, Case 821GXR, ZZ MISC, Case 621E",17
839431,Adam Graneto,9,Brunswick,5,May,0.0,0.0,TARGET,Concentrated,1,2025,"Jan, Sep, Nov",Customer Labor,0.0,0.0,192189.1,223325.46,2026-01-27,82,"Case Backhoes 450, Kobelco ED180, Case 450",6
3016435,Ironunits Llc,7,Perrysburg,5,May,0.0,0.0,TARGET,Year-Round,3,2023/2024/2025,"Feb, Mar, Apr, Jun, Jul, Aug, Oct, Nov, Dec",Customer Labor,12093.49,80539.62,26823.94,119457.05,2025-12-04,192,"SX A7000, ZZ 4000 GALLON, PB PB348",11
3061302,Amsted Rail,4,Dublin,5,May,0.0,0.0,TARGET,Year-Round,3,2023/2024/2025,"Jan, Feb, Mar, Apr, Jun, Jul, Aug, Oct, Nov, Dec",Customer Labor,38738.2,6107.83,68828.53,113674.56,2025-12-09,201,"Case 821F, Case Backhoes SR210, Case Backhoes SR240",7
257354,Liberty Tire Services Of Llc,2,North Canton,5,May,0.0,0.0,TARGET,Seasonal,3,2023/2024/2025,"Jan, Feb, Mar, Jun, Jul, Sep, Oct",Customer Labor,23329.52,11358.59,58404.4,93915.07,2026-01-13,108,"Case Backhoes 1650M, Case 1650M, Case 1650M WT/LGP, Case Excavators CX210C",4
410176,Valero Energy Corp,4,Dublin,5,May,3945.6,4.6,STRONG,Year-Round,3,2023/2024/2025,"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",Customer Labor,28513.21,1147.58,50360.67,85345.24,2026-02-03,174,"Case 821G XR, Case 821F, Case 621E, Case 821GXR, Case Skid Steers 821",33
248740,Joseph A Jeffries Co,2,North Canton,5,May,339.06,0.4,STRONG,Year-Round,3,2023/2024/2025,"Jan, Feb, May, Jun, Aug, Sep, Oct, Nov, Dec",Customer Labor,49946.01,4831.04,19675.41,76042.75,2026-01-30,69,"Kobelco SK170-10, Bomag BM1200/35, ME MPS600, KO SK350LC-10, Kobelco SK270SR",12
96189,West Virginia Hwy Dept  Dist 3,16,Marietta,5,May,745.75,1.2,STRONG,Year-Round,3,2023/2024/2025,"Jan, Feb, Mar, Apr, May, Jun, Jul, Sep, Oct, Nov, Dec",Customer Labor,34507.85,14318.1,14196.47,63614.72,2026-01-08,66,"Gradall XL3100SV 4X2, FE BH40EXC, Case Excavators CX210D, Kobelco SK210LC-10, FE BH040EXC2",23
970043,Obon Construction Inc,9,Brunswick,5,May,559.08,1.0,STRONG,Year-Round,3,2023/2024/2025,"Jan, Feb, Mar, May, Jun, Jul, Aug, Nov, Dec",Customer Labor,8494.29,5689.08,41521.42,54818.03,2025-11-24,42,"Kobelco SK210-8, Kobelco SK210LC",10
2047240,Huron Landfill Corp,20,Novi,5,May,16305.74,30.6,STRONG,Seasonal,3,2023/2024/2025,"Jan, Mar, Apr, May, Jun, Jul",Customer Labor,13019.22,31122.5,9128.44,53270.16,2025-06-30,36,"Bomag BC1172RB-4, Bomag BC1172RB",14
1985067,Site Werx Excavating Llc,19,Holt,5,May,882.75,1.7,STRONG,Year-Round,3,2023/2024/2025,"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Dec",Customer Labor,18055.38,23990.06,8500.77,52444.12,2026-01-30,104,"IC 580SN, Case Backhoes 580SM_SER2, JD 331G, IC 580SM, JD 329E",21
3100837,Saorsa Construction Ohio Inc,15,Heath,5,May,0.0,0.0,TARGET,Year-Round,1,2025,"Jan, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",Customer Labor,0.0,0.0,76326.58,52227.39,2026-01-23,82,"ZZ 4800, BZ HP450, Case Backhoes TR310B, Kobelco SK85CS-7, Case Backhoes 761114",18
1248663,Jay Co Highway Department,12,Fort Wayne,5,May,429.0,0.9,STRONG,Year-Round,3,2023/2024/2025,"Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct",Customer Labor,16451.39,12738.86,19995.14,49185.39,2025-07-29,56,"Etnyre CENTENNIAL, SB DT80K, Bomag BW11RH-5, DP CP132, Gradall G3WD",12
265080,Mid East Truck & Tractor,2,North Canton,5,May,2216.14,4.5,STRONG,Year-Round,3,2023/2024/2025,"Jan, May, Jun, Jul, Aug, Oct, Nov, Dec",Customer Labor,19999.4,25612.64,3724.88,48726.3,2026-01-27,74,"Case Backhoes TV380, Case 921G, Case 921F, JD 544J, Case 821F",16
831443,H Z W Environmental Consultnts,11,Mentor,5,May,397.24,0.9,STRONG,Year-Round,3,2023/2024/2025,"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",Customer Labor,10601.91,22143.03,13166.37,46440.96,2026-01-30,126,"ZZ 7822DT, ZZ 6600, ZZ 5400, GP 7822DT, ZZ TRAILER",19
429411,City Of Dublin,4,Dublin,5,May,2726.89,6.0,STRONG,Year-Round,3,2023/2024/2025,"Feb, Apr, May, Jul, Aug, Sep, Oct, Nov, Dec",Customer Labor,25546.67,19238.9,346.68,45132.25,2025-10-31,63,"AO 74ES-RH, BT 280, SX A7000, Case Excavators CX60C, Case Backhoes TV450B",17
3030832,Shamrock Asphalt Services Llc,4,Dublin,5,May,6419.35,14.4,STRONG,Year-Round,3,2023/2024/2025,"Jan, Feb, Mar, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",Customer Labor,18493.75,12486.18,14660.83,44433.32,2025-11-26,109,"Bomag BM1000/30, Case Backhoes TV450B, VG PUB72, Bomag BM1200/30, Case Backhoes SV340B",13
1230773,Elkhart Co Highway Department,12,Fort Wayne,5,May,47.35,0.1,STRONG,Seasonal,3,2023/2024/2025,"Jan, May, Jul, Sep",Customer Labor,736.7,2035.95,3505.32,43135.46,2026-01-19,38,"Etnyre CHIP, Gradall G3WD, Etnyre CHIPSPREADER, Etnyre BT-HL, Etnyre S2000",8
1597524,Wilson Farms,15,Heath,5,May,29141.08,69.6,GOOD,Seasonal,1,2025,"Jan, Apr, Aug, Oct",Customer Labor,0.0,0.0,41862.78,41862.78,2025-10-23,6,"Case 621D, Case 621G",2
3067850,Armada E&P Wv Llc Dba Mmwv,16,Marietta,5,May,2083.29,5.0,STRONG,Year-Round,3,2023/2024/2025,"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",Customer Labor,10516.04,19318.21,12662.23,41407.49,2025-12-22,82,"Case Backhoes 221F, Case Excavators CX160D, Case CX160, Case CX160D",10
427131,Delaware Co Genoa Twp,4,Dublin,5,May,2057.08,5.2,STRONG,Seasonal,3,2023/2024/2025,"Mar, May, Jun, Jul, Aug, Sep, Oct",Customer Labor,6463.34,3231.67,34310.69,39749.24,2025-10-14,68,"CO AP450HD EI, Case Backhoes 580M, Case Backhoes 70XT, VG PUB84VGCNKNG, Case Backhoes TV450B",12
1264990,Miami Co Highway Dept,12,Fort Wayne,5,May,0.0,0.0,TARGET,Seasonal,3,2023/2024/2025,"Jan, Jun, Sep, Nov",Customer Labor,21052.69,16534.18,2044.77,39631.64,2025-11-24,25,"Etnyre CHIP, SB DT74J, Etnyre S2000, Bomag BW161ADS, Etnyre BT-HL",6
1234885,Fulton Co Highway Department,12,Fort Wayne,5,May,9723.66,24.8,STRONG,Concentrated,2,2023/2025,"May, Jun, Dec",Customer Labor,9723.66,0.0,29538.84,39262.5,2025-12-03,24,"Etnyre CHIP, Etnyre S2000",2
462034,M D Blacktop,4,Dublin,5,May,1997.16,5.1,STRONG,Year-Round,3,2023/2024/2025,"Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov",Customer Labor,1712.66,24711.52,12628.16,39052.34,2025-09-12,52,Bomag BM1200/35,2
470248,Odot Dist #3 Headquarters,9,Brunswick,5,May,1230.5,3.2,STRONG,Year-Round,3,2023/2024/2025,"Jan, Feb, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",Customer Labor,9486.03,22777.13,8305.95,38045.24,2025-07-30,47,"Case 621GXR, Kobelco SK210LC-10, Case 621D, Gradall G3WD, Case 621G2 ZBAR",33
247575,Novelis Alr Rolled Products,1,Cambridge,5,May,765.05,2.0,STRONG,Year-Round,3,2023/2024/2025,"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",Customer Labor,10755.56,33094.19,27649.61,37590.88,2025-12-31,39,"Case Backhoes SR210, Case 521G, ZZ PART, Case Excavators CX50B, ZZ PARTS",54
482405,Scott & Son Concrete,4,Dublin,5,May,0.0,0.0,TARGET,Year-Round,3,2023/2024/2025,"Jan, Feb, Mar, Apr, Jun, Jul, Aug, Sep, Oct, Nov, Dec",Customer Labor,3394.58,26573.64,6165.36,36133.58,2025-12-30,69,"Case Backhoes TR270, Kubota SVL65-2HW, New Holland C227",9
95001,Washington Co Grandview Twp,16,Marietta,5,May,1515.13,4.2,STRONG,Seasonal,3,2023/2024/2025,"May, Jun, Jul, Sep, Oct, Dec",Customer Labor,572.99,29953.88,5306.67,35833.54,2025-09-19,25,"MF 5465, Case Skid Steers 895, Case Backhoes 580SN, AO MB3-18, GH 707",13
224901,A Crano Exc Inc,2,North Canton,5,May,2509.52,7.2,STRONG,Year-Round,3,2023/2024/2025,"Jan, Feb, Mar, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",Customer Labor,12799.71,10108.82,11266.86,35052.79,2026-01-28,113,"Kobelco SK500LC-10, Kobelco SK140SRLC-5, Bomag BW211PD-5, Kobelco SK160VI, Bomag BW213PDB",42
225940,City Of Cuyahoga Falls,2,North Canton,5,May,1229.21,3.6,STRONG,Year-Round,3,2023/2024/2025,"Feb, Mar, May, Jul, Aug, Oct, Nov, Dec",Customer Labor,3756.11,3910.94,26780.78,34447.83,2025-12-16,65,"Case 821G, SX A7000, VC AJV1215, Case Skid Steers W252, Case Skid Steers 1845C",13
